item_index,name_string_id,description_string_id,name,description
17,30017,40017,Hallem TAR7 Tactical Assault Rifle,"Hallem Industries' famed high-powered sniper rifle specially reinforced through molecular reconstruction to withstand the pressure of the large-caliber rounds custom made for this weapon. Featuring a 7x zoom scope, the TAR7 has been adopted officially by the Freedom Defense Corps for use by infantry sharpshooters. Note: This weapon is not available for trainees!"
18,30018,40018,Protonix Barracuda,"The Former CEO of Gakk Technology Henry Wakemen has released newly founded Protonix Industries first sidearm. The Barracuda is aimed at taking on rival company Enfield using an old ballistic style firing system which the company says will ensure the safety of those targetted. It's a non-lethal civil enforcement armament, designed for use by GD personnel at close range to knock the fighting ability out of a target."
19,30019,40019,Chrono Enervon Pistol EP24,"Part of Chrono Incorporated's latest series of Enervon weapons intended for tactical use. This line of weapons is unique in being able to drain a target's stamina and bioenergy through the use of superheated electrons. This phenomenon was an unexpected discovery made by Chrono Incorporated's medical wing's experiments in the use of such superheated electrons for oncological purposes. The EP24 is designed with close quarters combat in mind, being one of the more portable and compact weapons of the Enervon line of weapons."
20,30020,40020,Aurelian Technologies Dominator,"A new entrant into the arms business, Aurelian Technologies released their new developmental rifle that is designed to destabilise the biocell energy stored by a persons body and prevent them from using augmentations, as well as disrupting their thought process and brain impulses, allowing easier control of the subject. Includes a 4x scope."
21,30021,40021,Enfield Incapacitator Rifle ER-X,One of Enfield Corporation's latest law enforcement weapons in the Incapacitator series designed and produced according to custom specifications provided by the Law Enforcement Department and Freedom Defense Corps. Produced specially to meet the growing demands by Global Dominion forces for a non-lethal weapon that is able to minimise risk of injury to law enforcers by having a greatly increased effective range over existing weapons. Includes a 2x scope.
22,30022,40022,CryoTech Medigun CM2,The medigun fires a stream of nano particles at the target which heals damaged tissue and ligaments. This device by CryoTech Industries is revolutionary in being lightweight and compact enough to be deployed for tactical usage on the battlefield. It is not intended to heal serious wounds and you should seek further medical help from a registered medic terminal.
23,30023,40023,Personal Turret,"Utilizing advanced energy weaponry, this deployable object allows you to build stationary defense positions, attacking targets based on circumstances that you define in the confugration."
24,30024,40024,Experimental X-01 Gun,"After extensive research by archaeologists on Necars Field, ancient alien technology unrelated to the current xenomorphs was discovered. Defense scientists subsequently learned how to replicate the weapon and found it to be light, yet durable and bearing a considerable ability to penetrate xenomorph carapace with relative ease using a ballistic projectile encapsulated by a shroud of special energy particles."
25,30025,40025,RK 2a7 Mining Tool,"The most basic mining tool available; this firearm is capable of mining various resources from rock surfaces, depending on what is available where it is fired."
26,30026,40026,RX Zephyr Advanced Mining Tool,A mining tool manufactured for the sole purpose of mining higher class minerals to create more advanced objects.
27,30027,40027,Cucurbita Grenade,"In an attempt to raise brand awareness, Salvotec Industries releases this specialty weapon. Not only does this grenade deal quite a blow, it also serves as an over the top warning to those around that you mean business."
28,30028,40028,Arachnid Explosive,"Created to celebrate the Halloween season, Salvotec Industries releases this fantastically painted modification of their flagship grenade."
29,30029,40029,Hallem IX-78 Precision Energy Rifle,"Created using Hallem's experimental compression technology, this limited production rifle compresses a beam of energy into a single particle and accelerates it. The heat generated by the weapon is quickly absorbed by the carbon nanotube casing, preventing most cases of overheating and allowing for faster shots than its ballistic counterpart."
30,30030,40030,CryoTech Medigun CM1,The medigun fires a stream of nano particles at the target which heals damaged tissue and ligaments. This device by CryoTech Industries is revolutionary in being lightweight and compact enough to be fit in your pocket. It is not intended to heal serious wounds and you should seek further medical help from a registered medic terminal.
31,30031,40031,Frostbite,"Created using a reverse temperature polarization technique, this energy rifle fires at a faster rate and deals stamina damage."
32,30032,40032,U-V890 Hyper Advanced Mining Tool,"Capable of mining the highest class rocks available, this precision instrument mines the resources necessary for the most advanced production techniques."
33,30033,40033,Linner PP-X,"Designed by Dominion engineers, this weapon was intended for the population control of the rapidly reproducing xenomorph species."
34,30034,40034,Hawk-72,"Created by American Enterprises, this amazing piece of technology is capable of killing Xenomorphs and humans alike, without requiring the same effort and ability as other weapons."
35,30035,40035,Zanathid 5.5 CopKiller,"Utilizing a special type of 9mm round, this illegal modification of the Zanathid 5 Inflex is capable of piercing any time of armor on the market. Meant as a weapon able to be used against those with significant armor, it certainly packs a punch."
36,30036,40036,Backer Rifle,"A reward for backing our Kickstarter campaign, this rifle will make your dedication to the game clear."
37,30037,40037,Territory Turret,"Utilizing advanced energy weaponry, this deployable object allows you to build stationary defense positions, attacking targets based on circumstances that you define in the confugration."
38,30038,40038,Golden Zanathid 5 Inflex,"As standard a handgun as will be found in The Dominion, the Inflex can take standard 9mm ammo. Originally produced by Isotech, it is now widely constructed (often illegally) due to its wide design."
39,30039,40039,,
40,30040,40040,,
41,30041,40041,,
42,30042,40042,,
43,30043,40043,,
44,30044,40044,,
45,30045,40045,,
46,30046,40046,,
47,30047,40047,,
48,30048,40048,,
49,30049,40049,,
50,30050,40050,,
51,30051,40051,9mm Standard Rounds,"Remaining virtually unchanged for 300 years, 9mm rounds have long since proven their durability in comparison to more high tech variants."
52,30052,40052,Energy Cell,Energy cells consist of plasma which is - in compressed form - able to destabilize the target upon impact. They are slowly but surely replacing traditional projectiles as the ammunition of choice.
53,30053,40053,7.62mm Standard Rounds,Standard issue 7.62mm rounds used in all major rifles.
54,30054,40054,High Capacity Energy Cell,Energy cells consist of plasma which is - in compressed form - able to destabilize the target upon impact. They are slowly but surely replacing traditional projectiles as the ammunition of choice.
55,30055,40055,Plutonium Cell,Energy cells consist of plasma which is - in compressed form - able to destabilize the target upon impact. They are slowly but surely replacing traditional projectiles as the ammunition of choice.
56,30056,40056,5.54mm Standard Rounds,Standard 5.54mm rounds used in a variety of small arms.
57,30057,40057,7.62mm Titanium Rounds,7.62mm rounds reinforced with special steel to provide extra penetrating power.
58,30058,40058,9mm Rubber Rounds,9mm rounds made of rubber.
59,30059,40059,7.62mm Rubber Rounds,7.62mm rounds made of rubber.
60,30060,40060,7.62mm Electromagnetic Rounds,"7.62mm rounds with small electromagnets inside that activate upon impact, creating small pulses which damage machines."
61,30061,40061,,
62,30062,40062,,
63,30063,40063,,
64,30064,40064,,
65,30065,40065,,
66,30066,40066,,
67,30067,40067,,
68,30068,40068,,
69,30069,40069,,
70,30070,40070,,
71,30071,40071,,
72,30072,40072,,
73,30073,40073,,
74,30074,40074,,
75,30075,40075,,
76,30076,40076,,
77,30077,40077,,
78,30078,40078,,
79,30079,40079,,
80,30080,40080,,
81,30081,40081,Biocell,"A relatively new innovation, biocells are a disposable energy supply which can interface directly with your body's neural system, and recharge the energy supply used to power augmentations."
82,30082,40082,Small MediKit,"A small, disposable treatment kit. Healing times are long, but the production is cheap."
83,30083,40083,Standard MediKit,An average sized treatment kit. Provides standard healing times with good item production costs.
84,30084,40084,Battle MediKit,"A large treatment kit, containing sufficient materials to stabilize and maintain a patient's health quickly and efficiently. Healing is fast, but production is not cheap."
85,30085,40085,Emergency MediKit,"A fully stocked treatment kit, including surgical implements and a range of experimental medicines. This kit provides the best healing times, but is expensive in production."
86,30086,40086,Nanomachine Autoinjector,"A portable means of providing an intramuscular infusion of restorative nanomachines, utilizing freon gas compressed to 1500 atmospheres. Requires care to ensure nanomachines are infused into areas that have a high concentration of blood capillaries to ensure maximum dispersal rates."
87,30087,40087,Nanomachine Autoinjector Mk2,"An advanced version of a means of providing an intramuscular infusion of restorative nanomachines, utilizing freon gas compressed to 1500 atmospheres. Due to improvements in the nanomachines utilized, the autoinjector can be administered to any part of the body with no decrease in efficacy, as well as have a higher rate of healing overall. As this is still a prototype, it has not been made available to the general public for use and production."
88,30088,40088,Adrenaline Autoinjector,"Containing a single dose of adrenaline, this item was originally designed for the military for use in combat to give soldiers the strength to endure strenuous physical activity for a period longer than they would normally be able to. The adrenaline is injected intramuscularly by a disposable canister of compressed freon."
89,30089,40089,Electrolyte Autoinjector,"Containing electrolytes saturated with organic energy particles, this item was originally designed for the military for use in combat to give soldiers a near immediate infusion of bioenergy. Due to the relatively small amount of bioenergy it replenishes, it was prescribed to be used only in emergencies The electrolytes are injected intramuscularly by a disposable canister of compressed freon."
90,30090,40090,,
91,30091,40091,,
92,30092,40092,,
93,30093,40093,,
94,30094,40094,,
95,30095,40095,,
96,30096,40096,,
97,30097,40097,,
98,30098,40098,,
99,30099,40099,,
100,30100,40100,,
101,30101,40101,Night Vision Augmentation,"Feeding off the body's bio-electrical energy supply, this gadget will illuminate dark areas."
102,30102,40102,Stamina Amplification,"Interfacing directly with the human respiratory system, the stamina amplification channels into the bio-electrical energy supply also, thus giving the user far greater endurance."
103,30103,40103,Shoulder Lamp,A simple directional lamp which mounts on the shoulder for low tech illumination. Runs off the body's bio-electrical supply.
104,30104,40104,Resistance Amp,"This augmentation uses a scarcely understood procedure of transforming bio-electrical charges in the body into fresh tissue, thus performing a rapid, albeit inefficient, healing process."
105,30105,40105,Shield Augmentation,"An experimental device, the shield device projects a protective bubble around the user, which offers armor, shielding attributes or both. The amount of armor vs. shielding can be adjusted via a slider. You can either have full armor, full shielding or a value inbetween. Feeds off the body's bio-electrical supply."
106,30106,40106,Infiltration Scanner Augmentation,"Through careful manipulation of the Vortex Network, this special augmentation will allow the user access to locked apartments. During apartment entrance, this augmentation will be capable of scanning the Vortex Aura, recording the targeting information to a ticket in the user's inventory. Accessing a special menu while at an Apartment Complex will allow the user to hack into the apartment and steal goods from inside."
107,30107,40107,Portable Vortex Particle Emitter,"This latest product to be invented by the engineers in Vortex Incorporated, informally dubbed the 'vortex-on-the-go'. It requires a full biocell upon activation and consumes a large amount of bioenergy during the countdown in order to power a compact, high-powered emitter which envelops the user with a considerable amount of vortex particles, and create a strong enough link to the vortex network."
108,30108,40108,Mineral Scanner,"Using advanced geological surveying techniques, this augmentation will allow you to locate specific mineral deposits and mine them."
109,30109,40109,Hunter VX270,"Utilizing the fallen government's Universal Positioning System, this augmentation will allow you to locate specific individuals, regardless of where they are in the galaxy. The precision of the scan depends on how long they remain in the same area. Through special modifications made to the technology, this augmentation can also view the history of any apartment safe."
110,30110,40110,,
111,30111,40111,Advanced Civilian Helmet,"The Advanced Civilian armor was designed for deep planetary mining operations. Although designed for civilian use, this heavy armor has seen many military campaigns as well."
112,30112,40112,MT-27 Ballistics Helmet,The MT-27 Ballistics armor was originally designed for use in militias. This mass-produced armor offers more than adequate protection for reasonable prices.
113,30113,40113,Tactical Systems Helmet,The Tactical Systems armor is the basis for the most advanced armor available today. Its unique blend of lightweight compounds and an easy to repair design has inspired many to further develop the system.
114,30114,40114,Locans Defense Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Defense armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
115,30115,40115,Locans Ethereal Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Ethereal armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
116,30116,40116,Locans Patrol Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Patrol armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
117,30117,40117,Locans Pressured Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Pressured armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
118,30118,40118,Pythica Special Operations Helmet,"The favorite of vehicle crewmen, scouts and certain special forces, Special Operations Armor is a hardy Dominion standard that has seen relatively little innovation since the days before handheld energy weapons."
119,30119,40119,Pythica Mobile Infantry Helmet,"Used widely by Dominion troops since the first Necar’s Field Conflict, some veterans swear by the fit and feel of this classic armor. Interlocking tensile and ceramic plates designed to make enemy ballistics nonfatal still provide mild protection against heat."
120,30120,40120,Pythica S1 Helmet,"The Pythica S1 armors have been engineered to be lighter than the Pythica Battle armor series, allowing for slightly better endurance. Based on the crystal lattice technology used in many heavier armors, this armor uses less material for a lighter wear."
121,30121,40121,Pythica Sustained Battle Helmet,"The Pythica Sustained Battle series of armor is the revolutionized self of its earlier Ceremonial versions. It provides unrivalled protection, with even higher density made possible by further research into crystal lattice technology."
122,30122,40122,NanoTech Trauma Helmet,"Originally designed by CryoTech Industries for use in front-line triages, automated injectors throughout the inner suit of this armor provide spot-treatment for wounds. This armor became combat-capable with the addition of an ablative layer above the suit."
123,30123,40123,NanoTech Scout Helmet,"Developed by CryoTech Industries to give front-line patrols a boost of endurance for long or exhausting deployments, this suit has found niche uses among those who prefer sprightliness over protective capacity."
124,30124,40124,NanoTech Voltaic Helmet,CryoTech Industries created this automated suit to address growing concerns among enlisted FDC that mission-critical bio-augmentations were failing in the middle of operations. It replaces positively charged ions with negatives in the blood via nanite injectors.
125,30125,40125,NanoTech Cognizant Helmet,"With the inevitable risk of injury during deep space mining, CryoTech Industries engineered this armor to help regain consciousness in the event of a disaster. Redeveloped with lighter wear for use in combat, this armor can help the user better keep their mind intact during a battle."
126,30126,40126,Hypobaric Helmet,"The favorite of assassins, the light Hypobaric Armor strategically releases mildly toxic muscle relaxants to steady aim and focus its wearer. This slows the user’s metabolism, reducing bioelectric output."
127,30127,40127,Metabolic Helmet,"This armor, based on CryoTech Vitality Suits, foregoes strictly legal serums for added regenerative capability, though one’s immune system rebels against these stronger synthetic drugs over time."
128,30128,40128,Venom Helmet,"Venom armor uses strong amphetamine injections to accelerate one’s metabolism, producing extra bioelectric energy, but prolonged over-oxygenation can lead to lightheadedness and ultimately panic or catatonia in its user."
129,30129,40129,Detox Combat Helmet,"Designed by enterprising Brotherhood engineers sympathetic to the plight of their front-line kin, this armor includes automated systems that suppress silly, overambitious immune responses, purging one’s resistance to combat stimulants."
130,30130,40130,Delta Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
131,30131,40131,Havoc Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
132,30132,40132,Firstborn Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
133,30133,40133,Legionnaire Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
134,30134,40134,PreMet Buffer Helmet,The need to stay in a healthy mental state during combat has caused PreMet Buffer armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
135,30135,40135,PreMet Contact Helmet,The need to stay in a healthy mental state during combat has caused PreMet Contact armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
136,30136,40136,PreMet Collision Helmet,The need to stay in a healthy mental state during combat has caused PreMet Collision armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
137,30137,40137,PreMet Impact Helmet,The need to stay in a healthy mental state during combat has caused PreMet Impact armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
138,30138,40138,Dilatant 46b Helmet,"Incorporating a layer of non-newtonian fluid, Dilatant armor has a “bend or break” counteractive effect on incoming projectiles. This system is very light compared to the ablative plating of most armors."
139,30139,40139,Aramid Modified Helmet,"Aramid fiber has revolutionized armor to become durable versus high speed projectiles and heated beams. Utilizing a layer of high strength polymer blends, this armor is able to absorb the lion’s share of most impacts against it."
140,30140,40140,Dilatant 50b Helmet,"Incorporating a layer of non-newtonian fluid, Dilatant armor has a “bend or break” counteractive effect on incoming projectiles. This system is very light compared to the ablative plating of most armors."
141,30141,40141,Aramid Basic Helmet,"Aramid fiber has revolutionized armor to become durable versus high speed projectiles and heated beams. Utilizing a layer of high strength polymer blends, this armor is able to absorb the lion’s share of most impacts against it."
142,30142,40142,Infensus Minimalist Helmet,Infensus Minimalist Armor was released after many complained that the Essentials line was still impractically heavy for cramped or arduous conditions. Minimalist Armor retains only the reflective shell of its heavier cousins.
143,30143,40143,Infensus Shock Helmet,"It’s no surprise that Infensus Battle Armor is so burdensome, given its origin design, the space suit. Sharing a need to regulate, reduce and shed heat rapidly, IBA has since undergone dozens of redesigns for use in combat against new-age energy weapons."
144,30144,40144,Infensus X1 Assault Helmet,"Modern threats require modern solutions, and this cutting-edge energy dispersal armor is that solution. Marketed to corporate commandos going up against their technophilic competitors, it has a glossy, futuristic aesthetic."
145,30145,40145,Infensus Heavy Helmet,"It’s no surprise that Infensus Battle Armor is so burdensome, given its origin design, the space suit. Sharing a need to regulate, reduce and shed heat rapidly, IBA has since undergone dozens of redesigns for use in combat against new-age energy weapons."
146,30146,40146,Locans Patrol Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Patrol armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
147,30147,40147,Pythica S2 Helmet,"The Pythica S2 armors have been engineered to be lighter than the Pythica Battle armor series, allowing for slightly better endurance. Based on the crystal lattice technology used in many heavier armors, this armor uses less material for a lighter wear."
148,30148,40148,NanoTech Voltaic Assault Helmet,CryoTech Industries created this automated suit to address growing concerns among enlisted FDC that mission-critical bio-augmentations were failing in the middle of operations. It replaces positively charged ions with negatives in the blood via nanite injectors.
149,30149,40149,Venom Helmet,"Venom armor uses strong amphetamine injections to accelerate one’s metabolism, producing extra bioelectric energy, but prolonged over-oxygenation can lead to lightheadedness and ultimately panic or catatonia in its user."
150,30150,40150,Firstborn Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
151,30151,40151,PreMet Collision Helmet,The need to stay in a healthy mental state during combat has caused PreMet Collision armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
152,30152,40152,Dilatant 50b Helmet,"Incorporating a layer of non-newtonian fluid, Dilatant armor has a “bend or break” counteractive effect on incoming projectiles. This system is very light compared to the ablative plating of most armors."
153,30153,40153,Infensus X2 Assault Helmet,"Modern threats require modern solutions, and this cutting-edge energy dispersal armor is that solution. Marketed to corporate commandos going up against their technophilic competitors, it has a glossy, futuristic aesthetic."
154,30154,40154,XenoTech Expeditionary Helmet,"Upon the discovery of the xenomorph colony on Necars Field, and the subsequent discovery of the incredible resilience of the alien carapace, research began immediately to study potential military applications of the procured xenomorph components. The result is this unique set of armor, whose organic appearance reflects the origin of its component parts."
155,30155,40155,Exile Helmet,"Part of the set of prototype armor stolen from the Galactic Intelligence Service by the organization colloquially known as the Men in Black, and subsequently released for purchase in limited quantities in order to sustain the MIB's continued rebellion."
156,30156,40156,Black Shuck Helmet,"To top off your Halloween costume, this helmet will truly make you look as threatening as a Black Shuck."
157,30157,40157,Echion Helmet,"To top off your Halloween costume, this helmet will truly make you look as threatening as an Echion."
158,30158,40158,Locans Stabilized Helmet,"After Locans Systems was edged out of the armor market, larger corporations took over their designs. The remade Locans Stabilized armors retain their resistance against higher mass ballistics, while using materials that allow them to be viable in regular combat."
159,30159,40159,Pythica Durable Battle Helmet,"The Pythica Durable Battle series of armor is the revolutionized self of its earlier Ceremonial versions. It provides unrivalled protection, with even higher density made possible by further research into crystal lattice technology."
160,30160,40160,NanoTech Vitality Helmet,"A blend of CryoTech Industries’ four main lines of combat armor, this armor employs miniature nano-injectors of all varieties to treat physical fatigue in each of its forms. "
161,30161,40161,Lintems Glasses,This sleek pair of acetate frames are both light-weight and comfortable.
162,30162,40162,DesIns Glasses,"The classic design of these glasses is still a hit in the modern Dominion, and gives an elegant look of sophistication"
163,30163,40163,Imaxil Incorporated Glasses,"A little bit retro, a little bit contemporary, they work for pretty much everyone."
164,30164,40164,ALM designs Glasses (Blue),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
165,30165,40165,Nology Glasses (Blue),A new era brings new designs. These are ultra modern and ultra light optical protectors.
166,30166,40166,Zivce6 Glasses (Blue),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
167,30167,40167,Mica|tems Glasses (Blue),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
168,30168,40168,ALM Designs Glasses (Black),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
169,30169,40169,Urban Dreams Glasses,"A cancelled military prototype into ocular augmentation lead to this strange design. They still look cool, though."
170,30170,40170,Zivce6 Glasses (Grey),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
171,30171,40171,Mica|tems Glasses (Silver),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
172,30172,40172,ALM Designs Glasses (Green),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
173,30173,40173,Nology Glasses (Yellow),A new era brings new designs. These are ultra modern and ultra light optical protectors.
174,30174,40174,Zivce6 Glasses (Yellow),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
175,30175,40175,Mica|tems Glasses (Yellow),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
176,30176,40176,ALM Designs Glasses (Red),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
177,30177,40177,Nology Glasses (Red),A new era brings new designs. These are ultra modern and ultra light optical protectors.
178,30178,40178,Zivce6 Glasses (Red),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
179,30179,40179,Mica|tems Glasses (Red),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
180,30180,40180,ALM Designs Glasses (Grey),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
181,30181,40181,Nology Glasses (Grey),A new era brings new designs. These are ultra modern and ultra light optical protectors.
182,30182,40182,Zivce6 Glasses (Olive Green),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
183,30183,40183,Mica|tems Glasses (Grey),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
184,30184,40184,ALM Designs Glasses (Yellow),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
185,30185,40185,Nology Glasses (Brown),A new era brings new designs. These are ultra modern and ultra light optical protectors.
186,30186,40186,Zivce6 Glasses (Yellow),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
187,30187,40187,Mica|tems Glasses (Brown),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
188,30188,40188,ALM Designs Glasses (Silver),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
189,30189,40189,Nology Glasses (Silver),A new era brings new designs. These are ultra modern and ultra light optical protectors.
190,30190,40190,Zivce6 Glasses (Silver),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
191,30191,40191,Mica|tems Glasses (Black),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
192,30192,40192,ALM Designs Glasses (Green),The modern rectangle-shaped glasses from ALM designs are known throughout the Global Dominion.
193,30193,40193,Nology Glasses (Green),A new era brings new designs. These are ultra modern and ultra light optical protectors.
194,30194,40194,Zivce6 Glasses (Green),A classic pair of unisex semi-rimless glasses with a stylish monel metal finish.
195,30195,40195,Mica|tems Glasses (Green),Made for all outdoor activities or just looking good sipping a latte at Moes bar.
196,30196,40196,GIS Shades,The sunglasses made popular by the agents of the Galactic Intelligence Service.
197,30197,40197,Fire Orange Glasses,"A fantastic pair of glasses, these shades will make you are traveling in style."
198,30198,40198,Incognito Shades,"The sunglasses made popular by the agents of the Galactic Intelligence Service. Despite being purpose-made for the GIS, it has been released for purchase by the average citizen in limited supply in order due to popular demand."
199,30199,40199,,
200,30200,40200,,
201,30201,40201,Leech Helmet,"Because bears are too hard to train, this extra-heavy armor requires powered servos as well as the strength of its user to function. Locking, white-hot machinery and anabolic injections make Leech Armor usable, as long as bodily harm is no object."
202,30202,40202,Justicar Powered Helmet,"Devised using the same technology that powers augmentations, practical powered armor harmlessly extracts human bio-energy to power systems that enhance combat capability, without the need for a heavy battery."
203,30203,40203,PreMet Tremor Helmet,The need to stay in a healthy mental state during combat has caused PreMet Tremor armor to become a popular choice against the striking blows caused by rubber bullet and high pain weaponry. The user will find themselves much tougher to break in terms of mental stability.
204,30204,40204,Aramid Altered Helmet,"Aramid fiber has revolutionized armor to become durable versus high speed projectiles and heated beams. Utilizing a layer of high strength polymer blends, this armor is able to absorb the lion’s share of most impacts against it."
205,30205,40205,Infensus Essentials Helmet,"A stripped-down version of the Heavy Infensus Battle armor, the “Essentials” line foregoes a flush coolant system for greater speed and maneuverability, though it retains the armor’s heavy plating designed to turn, disperse and shed heat."
206,30206,40206,Jack-o'-lantern Helmet,"Created from a variation of the Exile armor, this resilient orange armor reminds one of the Halloween season, hence it's name."
207,30207,40207,Skeleton Helmet,"Created from a variation of the Exile armor, this resilient skeleton armor reminds one of the Halloween season, hence it's name"
208,30208,40208,Backer Helmet,"A reward for backing our Kickstarter campaign, this helmet will make your dedication to the game clear."
209,30209,40209,,
210,30210,40210,,
211,30211,40211,Advanced Civilian Shoulder Pads,"The Advanced Civilian armor was designed for deep planetary mining operations. Although designed for civilian use, this heavy armor has seen many military campaigns as well."
